station_name,gage_id,lat,lon,upstream_gage_mainline,upstream_gage_trib,upstream_gage
"Little Salt Creek near Lincoln, Nebr.",06803510,40.89321944,-96.68167222,,,
"Little Sioux River at 300th St near Spencer, IA",06604440,43.21277778,-95.2391667,,06603920,06603920
"Little Sioux River at Correctionville, IA",06606600,42.4822222,-95.7925278,06604440,06604440,06604440
"Little Sioux River at Linn Grove, IA",06605850,42.89630556,-95.243,06604440,06604440,06604440
"Little Sioux River near Turin, IA",06607500,41.96502778,-95.97225,06604440,06607200,06604440
"Locust Creek near Linneus, MO",06901500,39.89594444,-93.2365278,,06901205,06901205
"Lodge Creek near Chinook, MT",06146980,48.6753611,-109.275,,,
"Lodge Grass Cr ab Willow Cr diversion, nr Wyola MT",06291500,45.12648056,-107.5998917,,,
"Lodge Pole Creek at Lodge Pole, MT",06154430,48.0310972,-108.5326111,,,
"Lodgepole Creek at Bushnell, Nebr.",06762500,41.22777778,-103.8930556,,,
"Logan Creek at Wakefield, Nebr.",06799445,42.276525,-96.86194444,,,
"Logan Creek near Bancroft, Nebr.",06799460,42.0027707,-96.4905859,06799445,06799445,06799445
"Logan Creek near Uehling, Nebr.",06799500,41.71257222,-96.52235,06799460,06799460,06799460
"Long Branch Creek near Atlanta, MO",06906150,39.89730556,-92.49325,,,
"Long Pine Creek near Riverview, Nebr.",06463500,42.68963611,-99.67944722,,423754099522201,423754099522201
"Loon Creek near Orleans, IA",06603920,43.52109229,-95.1016623,,,
"Loup River Power Canal near Genoa, Nebr.",06792500,41.40949722,-97.79375556,,06784000,06784000
"Loup River at Columbus, Nebr.",06794500,41.41666667,-97.3566667,,06792500,06792500
"Loup River near Genoa, Nebr.",06793000,41.41751389,-97.722925,,,
MAPLE RIVER AT ND-SD STATE LINE,06471200,45.93886156,-98.4526004,,,
"MARAIS DES CYGNES R AT LA CYGNE, KS",06915800,38.34529858,-94.7724591,06910800,06910800,06910800
"MARAIS DES CYGNES R AT MELVERN, KS",06911000,38.51611111,-95.69611111,06910800,06910800,06910800
"MARAIS DES CYGNES R NR KS-MO ST LINE, KS",06916600,38.2186367,-94.6130113,06910800,06910800,06910800
"MARAIS DES CYGNES R NR OTTAWA, KS",06913500,38.61806669,-95.2683071,06910800,06910800,06910800
"MARAIS DES CYGNES R NR POMONA, KS",06913000,38.5841777,-95.4535902,06910800,06910800,06910800
"MARAIS DES CYGNES R NR READING, KS",06910800,38.56695524,-95.961657,,,
"MARMATON R NR FORT SCOTT, KS",06917500,37.848929,-94.7027392,06917240,06917240,06917240
"MARMATON R NR MARMATON, KS",06917380,37.81754116,-94.7919095,06917240,06917240,06917240
"MARMATON R NR UNIONTOWN, KS",06917240,37.83559565,-94.981361,,,
"MEDICINE BOW R AB SEMINOE RESERVOIR, NR HANNA, WY",06635000,42.00966817,-106.5131381,06630465,06630465,06630465
"MEDICINE CREEK NEAR LOWER BRULE, SD",06442600,44.01637796,-99.745113,,,
"MICHIGAN RIVER NEAR CAMERON PASS, CO",06614800,40.49609409,-105.8650119,,,
"MIDDLE FORK POWDER RIVER NEAR BARNUM, WY",06309200,43.57773999,-107.1383995,,,
"MILL C AT JOHNSON DRIVE, SHAWNEE, KS",06892513,39.02916667,-94.8172222,,,
"MILL C AT WASHINGTON, KS",06884200,39.81361476,-97.0375267,,,
"MILL C NR PAXICO, KS",06888500,39.06472106,-96.1691605,,,
"MISSOURI RIVER AT BISMARCK, ND",06342500,46.81416667,-100.8213889,06027600,06320000,06027600
"MISSOURI RIVER AT GARRISON DAM, ND",06338490,47.5022218,-101.4309953,06027600,06320000,06027600
"MISSOURI RIVER AT PIERRE,SD",06440000,44.3730377,-100.3679114,06027600,06320000,06027600
"MISSOURI RIVER AT YANKTON, SD",06467500,42.86608985,-97.3939586,06027600,06320000,06027600
"MISSOURI RIVER NEAR SCHMIDT, ND",06349700,46.65638889,-100.7391667,06027600,06320000,06027600
"MISSOURI RIVER NR WILLISTON, ND",06330000,48.1080792,-103.7146446,06027600,06320000,06027600
MOREAU RIVER AT PROMISE SD,06361000,45.3431222,-100.6133889,06360500,06360500,06360500
"MOREAU RIVER NEAR FAITH,SD",06359500,45.19775826,-102.1565472,,,
"MOREAU RIVER NEAR WHITEHORSE,SD",06360500,45.2558171,-100.8429214,06359500,06359500,06359500
"MUDDY CREEK NEAR SHOSHONI, WY",06258000,43.2860368,-108.2757079,,,
"MULBERRY C NR SALINA, KS",06869950,38.8444476,-97.6683699,,,
MURRAY DITCH ABV HEADGATE AT WY-SD STATE LINE,06429997,44.5763739,-104.0560453,,,
Madison River ab powerplant nr McAllister MT,06040800,45.4865944,-111.6338583,06040050,06040050,06040050
"Madison River at Ennis, MT",06040050,45.34756389,-111.72246389,06038800,06037100,06038800
Madison River at Kirby Ranch nr Cameron MT,06038800,44.88865556,-111.580886,06037500,06037100,06037500
Madison River bl Ennis Lake nr McAllister MT,06041000,45.49023056,-111.6345056,06040050,06040050,06040050
Madison River bl Hebgen Lake nr Grayling MT,06038500,44.86639167,-111.3387806,06037500,06037100,06037500
Madison River near Cameron MT,06040000,45.2331333,-111.7516333,06038800,06037100,06038800
